Calories,Protein,Fat,Carbs,Meal,Course,Healthy,Special Nutrition,Cooking Methods,"time, mins",Vegetables,Fruits,Meat,Seafood,Mushrooms,Dairy,Grains,Nuts
220.0,29.0,8.0,7.0,1,2,0,2,3,20,0,0,1,0,0,0,1,0
242.0,28.0,9.0,11.0,3,2,0,2,3,25,1,0,0,1,0,1,0,0
127.0,5.0,7.0,11.0,4,2,0,2,3,35,1,0,0,1,0,1,0,0
363.0,14.0,23.0,23.0,0,6,0,2,3,20,0,0,1,1,0,1,0,0
521.0,37.0,22.0,45.0,4,2,0,2,3,30,1,0,1,0,0,0,1,0
370.0,26.0,8.0,48.0,4,2,1,2,3,35,1,0,0,1,0,0,1,0
510.0,17.0,31.0,57.0,4,4,0,2,3,30,1,0,0,0,0,0,1,0
266.0,2.0,12.0,38.0,0,6,0,2,3,35,0,1,0,0,0,0,1,0
216.0,11.0,8.0,27.0,3,0,0,2,3,45,1,0,0,0,0,1,0,0
180.0,10.0,5.0,25.0,3,0,0,2,3,35,1,0,0,0,0,0,1,0
377.0,24.0,16.0,36.0,3,0,0,2,3,35,1,0,0,0,0,1,1,0
178.0,11.0,8.0,16.0,3,2,0,2,3,45,1,0,0,0,0,1,0,0
136.0,6.0,6.0,14.0,0,6,0,2,3,40,0,0,0,0,0,0,1,0
589.0,43.0,32.0,33.0,1,2,0,2,3,35,1,0,0,1,0,0,0,0
60.0,3.0,1.0,10.0,4,4,1,0,3,40,1,0,0,0,0,0,0,0
120.0,2.0,4.0,20.0,4,4,1,0,3,25,1,0,0,0,0,0,0,0
200.0,26.0,4.0,17.0,4,2,0,2,3,20,1,0,0,1,0,1,1,0
465.0,38.0,6.0,62.0,4,4,0,2,2,120,1,0,0,1,0,0,1,0
108.0,2.0,2.0,20.0,4,4,0,2,3,0,1,0,0,0,0,0,0,0
48.0,2.0,2.0,5.0,0,6,1,2,3,20,0,0,0,0,0,1,1,0
200.0,24.0,2.0,20.0,4,2,1,2,3,48,0,0,0,1,0,0,1,0
291.0,24.0,11.0,24.0,4,6,0,2,3,515,1,0,1,0,0,1,1,0
72.0,6.0,5.0,0.0,0,6,0,2,3,6,0,0,0,0,0,0,0,0
219.0,8.0,5.0,40.0,4,4,0,2,3,45,1,0,0,0,0,1,1,0
144.0,8.0,3.0,24.0,3,0,1,2,3,35,1,0,0,1,1,0,1,0
191.0,6.0,2.0,37.0,4,4,0,2,3,30,1,0,0,0,0,0,1,0
392.0,11.0,15.0,55.0,1,4,0,1,3,25,1,0,0,0,0,0,1,0
316.0,23.0,23.0,6.0,0,6,0,2,3,25,1,0,1,0,0,1,0,0
512.0,29.0,5.0,85.0,4,6,0,2,3,35,0,0,0,1,0,1,1,0
106.0,20.0,2.0,3.0,4,2,0,2,2,16,0,0,1,0,0,0,0,0
142.0,25.0,4.0,0.0,4,6,0,2,3,30,0,0,1,0,0,0,0,0
196.0,3.0,9.0,28.0,4,4,0,2,2,17,0,0,0,0,0,0,0,0
60.0,2.0,4.0,7.0,4,4,0,2,3,15,1,0,0,0,0,0,0,0
120.0,2.0,4.0,20.0,4,4,1,2,3,30,1,0,0,0,0,0,0,0
